,location,date,total_cases,new_cases,total_deaths,new_deaths,months,years
0,Indonesia,2020-03-02,2,2,0.0,0.0,March,2020
1,Indonesia,2020-03-03,2,0,0.0,0.0,March,2020
2,Indonesia,2020-03-04,2,0,0.0,0.0,March,2020
3,Indonesia,2020-03-05,2,0,0.0,0.0,March,2020
4,Indonesia,2020-03-06,4,2,0.0,0.0,March,2020
5,Indonesia,2020-03-07,4,0,0.0,0.0,March,2020
6,Indonesia,2020-03-08,6,2,0.0,0.0,March,2020
7,Indonesia,2020-03-09,19,13,0.0,0.0,March,2020
8,Indonesia,2020-03-10,27,8,0.0,0.0,March,2020
9,Indonesia,2020-03-11,34,7,1.0,1.0,March,2020
10,Indonesia,2020-03-12,34,0,1.0,0.0,March,2020
11,Indonesia,2020-03-13,69,35,4.0,3.0,March,2020
12,Indonesia,2020-03-14,96,27,5.0,1.0,March,2020
13,Indonesia,2020-03-15,117,21,5.0,0.0,March,2020
14,Indonesia,2020-03-16,134,17,5.0,0.0,March,2020
15,Indonesia,2020-03-17,172,38,5.0,0.0,March,2020
16,Indonesia,2020-03-18,227,55,19.0,14.0,March,2020
17,Indonesia,2020-03-19,311,84,25.0,6.0,March,2020
18,Indonesia,2020-03-20,369,58,32.0,7.0,March,2020
19,Indonesia,2020-03-21,450,81,38.0,6.0,March,2020
20,Indonesia,2020-03-22,514,64,48.0,10.0,March,2020
21,Indonesia,2020-03-23,579,65,49.0,1.0,March,2020
22,Indonesia,2020-03-24,686,107,55.0,6.0,March,2020
23,Indonesia,2020-03-25,790,104,58.0,3.0,March,2020
24,Indonesia,2020-03-26,893,103,78.0,20.0,March,2020
25,Indonesia,2020-03-27,1046,153,87.0,9.0,March,2020
26,Indonesia,2020-03-28,1155,109,102.0,15.0,March,2020
27,Indonesia,2020-03-29,1285,130,114.0,12.0,March,2020
28,Indonesia,2020-03-30,1414,129,122.0,8.0,March,2020
29,Indonesia,2020-03-31,1528,114,136.0,14.0,March,2020
30,Indonesia,2020-04-01,1677,149,157.0,21.0,April,2020
31,Indonesia,2020-04-02,1790,113,170.0,13.0,April,2020
32,Indonesia,2020-04-03,1986,196,181.0,11.0,April,2020
33,Indonesia,2020-04-04,2092,106,191.0,10.0,April,2020
34,Indonesia,2020-04-05,2273,181,198.0,7.0,April,2020
35,Indonesia,2020-04-06,2491,218,209.0,11.0,April,2020
36,Indonesia,2020-04-07,2738,247,221.0,12.0,April,2020
37,Indonesia,2020-04-08,2956,218,240.0,19.0,April,2020
38,Indonesia,2020-04-09,3293,337,280.0,40.0,April,2020
39,Indonesia,2020-04-10,3512,219,306.0,26.0,April,2020
40,Indonesia,2020-04-11,3842,330,327.0,21.0,April,2020
41,Indonesia,2020-04-12,4241,399,373.0,46.0,April,2020
42,Indonesia,2020-04-13,4557,316,399.0,26.0,April,2020
43,Indonesia,2020-04-14,4839,282,459.0,60.0,April,2020
44,Indonesia,2020-04-15,5136,297,469.0,10.0,April,2020
45,Indonesia,2020-04-16,5516,380,496.0,27.0,April,2020
46,Indonesia,2020-04-17,5923,407,520.0,24.0,April,2020
47,Indonesia,2020-04-18,6248,325,535.0,15.0,April,2020
48,Indonesia,2020-04-19,6575,327,582.0,47.0,April,2020
49,Indonesia,2020-04-20,6760,185,590.0,8.0,April,2020
50,Indonesia,2020-04-21,7135,375,616.0,26.0,April,2020
51,Indonesia,2020-04-22,7418,283,635.0,19.0,April,2020
52,Indonesia,2020-04-23,7775,357,647.0,12.0,April,2020
53,Indonesia,2020-04-24,8211,436,689.0,42.0,April,2020
54,Indonesia,2020-04-25,8607,396,720.0,31.0,April,2020
55,Indonesia,2020-04-26,8882,275,743.0,23.0,April,2020
56,Indonesia,2020-04-27,9096,214,765.0,22.0,April,2020
57,Indonesia,2020-04-28,9511,415,773.0,8.0,April,2020
58,Indonesia,2020-04-29,9771,260,784.0,11.0,April,2020
59,Indonesia,2020-04-30,10118,347,792.0,8.0,April,2020
60,Indonesia,2020-05-01,10551,433,800.0,8.0,May,2020
61,Indonesia,2020-05-02,10843,292,831.0,31.0,May,2020
62,Indonesia,2020-05-03,11192,349,845.0,14.0,May,2020
63,Indonesia,2020-05-04,11587,395,864.0,19.0,May,2020
64,Indonesia,2020-05-05,12071,484,872.0,8.0,May,2020
65,Indonesia,2020-05-06,12438,367,895.0,23.0,May,2020
66,Indonesia,2020-05-07,12776,338,930.0,35.0,May,2020
67,Indonesia,2020-05-08,13112,336,943.0,13.0,May,2020
68,Indonesia,2020-05-09,13645,533,959.0,16.0,May,2020
69,Indonesia,2020-05-10,14032,387,973.0,14.0,May,2020
70,Indonesia,2020-05-11,14265,233,991.0,18.0,May,2020
71,Indonesia,2020-05-12,14749,484,1007.0,16.0,May,2020
72,Indonesia,2020-05-13,15438,689,1028.0,21.0,May,2020
73,Indonesia,2020-05-14,16006,568,1043.0,15.0,May,2020
74,Indonesia,2020-05-15,16496,490,1076.0,33.0,May,2020
75,Indonesia,2020-05-16,17025,529,1089.0,13.0,May,2020
76,Indonesia,2020-05-17,17514,489,1148.0,59.0,May,2020
77,Indonesia,2020-05-18,18010,496,1191.0,43.0,May,2020
78,Indonesia,2020-05-19,18496,486,1221.0,30.0,May,2020
79,Indonesia,2020-05-20,19189,693,1242.0,21.0,May,2020
80,Indonesia,2020-05-21,20162,973,1278.0,36.0,May,2020
81,Indonesia,2020-05-22,20796,634,1326.0,48.0,May,2020
82,Indonesia,2020-05-23,21745,949,1351.0,25.0,May,2020
83,Indonesia,2020-05-24,22271,526,1372.0,21.0,May,2020
84,Indonesia,2020-05-25,22750,479,1391.0,19.0,May,2020
85,Indonesia,2020-05-26,23165,415,1418.0,27.0,May,2020
86,Indonesia,2020-05-27,23851,686,1473.0,55.0,May,2020
87,Indonesia,2020-05-28,24538,687,1496.0,23.0,May,2020
88,Indonesia,2020-05-29,25216,678,1520.0,24.0,May,2020
89,Indonesia,2020-05-30,25773,557,1573.0,53.0,May,2020
90,Indonesia,2020-05-31,26473,700,1613.0,40.0,May,2020
91,Indonesia,2020-06-01,26940,467,1641.0,28.0,June,2020
92,Indonesia,2020-06-02,27549,609,1663.0,22.0,June,2020
93,Indonesia,2020-06-03,28233,684,1698.0,35.0,June,2020
94,Indonesia,2020-06-04,28818,585,1721.0,23.0,June,2020
95,Indonesia,2020-06-05,29521,703,1770.0,49.0,June,2020
96,Indonesia,2020-06-06,30514,993,1801.0,31.0,June,2020
97,Indonesia,2020-06-07,31186,672,1851.0,50.0,June,2020
98,Indonesia,2020-06-08,32033,847,1883.0,32.0,June,2020
99,Indonesia,2020-06-09,33076,1043,1923.0,40.0,June,2020
100,Indonesia,2020-06-10,34316,1240,1959.0,36.0,June,2020
101,Indonesia,2020-06-11,35295,979,2000.0,41.0,June,2020
102,Indonesia,2020-06-12,36406,1111,2048.0,48.0,June,2020
103,Indonesia,2020-06-13,37420,1014,2091.0,43.0,June,2020
104,Indonesia,2020-06-14,38277,857,2134.0,43.0,June,2020
105,Indonesia,2020-06-15,39294,1017,2198.0,64.0,June,2020
106,Indonesia,2020-06-16,40400,1106,2231.0,33.0,June,2020
107,Indonesia,2020-06-17,41431,1031,2276.0,45.0,June,2020
108,Indonesia,2020-06-18,42762,1331,2339.0,63.0,June,2020
109,Indonesia,2020-06-19,43803,1041,2373.0,34.0,June,2020
110,Indonesia,2020-06-20,45029,1226,2429.0,56.0,June,2020
111,Indonesia,2020-06-21,45891,862,2465.0,36.0,June,2020
112,Indonesia,2020-06-22,46845,954,2500.0,35.0,June,2020
113,Indonesia,2020-06-23,47896,1051,2535.0,35.0,June,2020
114,Indonesia,2020-06-24,49009,1113,2573.0,38.0,June,2020
115,Indonesia,2020-06-25,50187,1178,2620.0,47.0,June,2020
116,Indonesia,2020-06-26,51427,1240,2683.0,63.0,June,2020
117,Indonesia,2020-06-27,52812,1385,2720.0,37.0,June,2020
118,Indonesia,2020-06-28,54010,1198,2754.0,34.0,June,2020
